Orthogroup,Mean_dN,Mean_dS,Mean_Omega,Ct_LMG19424.IS.tmp.45428,Pp_PsJN.IS.tmp.45708,Rs_068_2.IS.tmp.45974,Rs_071-2.IS.tmp.46234,Rs_077-080_1.IS.tmp.46490,Rs_095-3.IS.tmp.46746,Rs_102-3.IS.tmp.47027,Rs_115-4.IS.tmp.47283,Rs_144-1.IS.tmp.47548,Rs_AHR56.IS.tmp.47805,Rs_Bs715.IS.tmp.48082,Rs_CFBP2957.IS.tmp.48339,Rs_CIAT_078.IS.tmp.48596,Rs_FJAT1458F1.IS.tmp.48854,Rs_FJAT1458F50.IS.tmp.49132,Rs_FJAT1463F1.IS.tmp.49397,Rs_FJAT1463F50.IS.tmp.49711,Rs_FJAT15249F1.IS.tmp.49968,Rs_FJAT15249F50.IS.tmp.50225,Rs_FJAT15252F1.IS.tmp.50481,Rs_FJAT15252F50.IS.tmp.50741,Rs_FJAT448F1.IS.tmp.50998,Rs_FJAT448F50.IS.tmp.51254,Rs_FJAT454F1.IS.tmp.51509,Rs_IBSBF.IS.tmp.52041,Rs_IBSBF1503.IS.tmp.51785,Rs_KACC.IS.tmp.52297,Rs_MolK2.IS.tmp.52573,Rs_NCSU_Rs32.IS.tmp.52829,Rs_NCSU_Rs45488.IS.tmp.53085,Rs_NCSU_RsMR-FL01.IS.tmp.53341,Rs_P597.IS.tmp.53597,Rs_P673.IS.tmp.53853,Rs_Po82.IS.tmp.54132,Rs_RS_v1.IS.tmp.54648,Rs_RS_v2.IS.tmp.54904,Rs_Rs5.IS.tmp.54388,Rs_SL2064.IS.tmp.55181,Rs_SL2312.IS.tmp.55447,Rs_SL3175.IS.tmp.55703,Rs_T101.IS.tmp.55958,Rs_T11.IS.tmp.56236,Rs_T12.IS.tmp.56492,Rs_T51.IS.tmp.56748,Rs_T60.IS.tmp.57003,Rs_T78.IS.tmp.57259,Rs_T82.IS.tmp.57514,Rs_T95.IS.tmp.57770,Rs_T98.IS.tmp.58026,Rs_UW163.IS.tmp.58287,Rs_UY031.IS.tmp.58564,Rs_Wj644.IS.tmp.58819
OG0000700,0.0798488988276282,0.02546233114432,4.771749682779094,,"2368, 6587",4613,4607,4611,4598,4603,4609,3848,3587,4671,3441,3503,3953,3956,3957,3956,3955,3957,3955,3954,3903,3911,3900,4621,4415,3495,829,3435,4214,4113,3995,3511,4592,3299,3295,3927,3506,3403,3462,3402,3477,3474,3435,3841,3899,3394,3494,3461,3448,3298,5179
OG0000701,0.0762327870554356,0.0294011981208582,3.36062091503268,2997,"3866, 894",4174,4170,,4160,4164,4172,4284,3918,5090,3896,3870,4465,4466,4469,4468,4467,4469,4467,4466,4415,4425,4412,4183,4058,3767,1171,4547,4561,4448,3754,3930,4158,3818,3812,3590,3780,3722,3736,3724,3750,3804,3708,4263,4322,3712,3767,3736,3807,3817,4702
OG0000702,0.0681887890643868,0.0329008175143699,2.686607142857143,420,3330,2790,2788,2791,2786,2788,2790,2786,2855,2151,437,416,3201,3204,3205,3204,3203,3204,3202,3202,3151,3159,3148,2809,2312,2778,451,2161,938,2380,1500,803,2792,2708,2706,2757,2788,2694,2762,2689,2759,2739,2737,3079,3097,2684,2777,2764,411,2707,533
OG0000703,0.083932778266812,0.0368386952786333,2.809306908262017,5082,2189,4175,4171,4174,4161,4165,4173,4283,3919,5091,3897,3871,4466,4467,4470,4469,4468,4470,4468,4467,4416,4426,4413,4184,4057,3768,1172,4546,4562,4449,3753,3931,4159,3819,3813,3589,3781,3723,3737,3725,3751,3805,3709,4264,4323,3713,3768,3737,3808,3818,4701
OG0000704,0.0829767481458838,0.0309579211861699,3.682075471698113,4480,4891,3527,3525,3529,3346,3350,3527,3523,3721,4818,3608,4604,4106,4108,4110,4109,4108,4110,4108,4107,4056,4065,4053,3533,4280,3604,984,3297,4352,4245,4574,3655,3513,3656,3649,3790,3616,3566,3580,3565,3587,3648,3545,3988,4048,3556,3604,3579,4508,3654,4910
OG0000705,0.0851686597154558,0.0382289914557433,2.7114389083139083,2387,951,974,973,974,971,972,973,972,1001,627,2229,1837,1041,1040,1041,1040,1041,1040,1040,1040,987,990,986,976,920,933,2808,388,2729,879,2975,2689,975,2434,2431,1029,936,892,880,895,894,910,890,1080,1053,892,934,879,1821,2432,2644
OG0000706,0.0828361568032066,0.0319483879808569,3.248189043862121,2818,3590,472,472,473,470,471,472,472,424,1205,2747,1331,527,527,527,526,528,527,527,526,475,477,475,473,1411,434,2304,3126,3260,1440,2451,3186,473,456,463,483,436,374,383,373,367,380,366,498,481,374,435,384,1318,457,3195
OG0000707,0.0759230596547522,0.0306258515614731,2.9907224196139293,,,1138,1137,1138,1135,1136,1137,1136,1162,398,2092,2005,1222,1221,1222,1221,1222,1221,1222,1221,1168,1174,1167,1141,756,1113,2996,545,2572,720,3096,2516,1139,1186,1183,1199,1125,1020,"1016, 674",1022,1071,1040,1070,1275,1231,1020,1114,"1014, 673",1986,1185,2460
OG0000708,0.0862852862145745,0.0365946428000702,2.734002085697166,2406,3104,966,965,966,963,964,965,965,995,633,2235,1829,1035,1034,1035,1034,1035,1034,1034,1034,981,984,980,968,927,927,2802,382,2735,885,2969,2698,967,2440,2437,1023,930,886,874,889,888,904,884,1074,1047,886,928,873,1813,2438,2650
OG0000709,0.0863400414215938,0.0248212676685496,4.379349816849817,3996,4159,3251,3250,3253,3248,3250,3252,3248,3389,4449,3179,3327,3717,3720,3721,3720,3719,3721,3718,3718,3667,3675,3664,3260,4668,3273,2688,3665,3997,3890,4265,3257,3241,3149,3148,4163,3283,3191,3241,3188,3254,3251,3209,3620,3678,3180,3272,3243,3275,3146,3697
OG0000710,0.0834368695313539,0.0324410308226711,3.7880050505050495,114,445,3002,3001,3004,2999,3001,3003,2999,3101,1910,225,632,3418,3421,3422,3421,3420,3422,3419,3419,3368,3376,3365,3024,2100,3010,237,2418,676,2124,1713,591,3006,2927,2929,3015,3020,2905,2974,2901,2991,2955,2946,3323,3381,2894,3009,2976,624,2926,279
OG0000711,0.0736485714080234,0.0332956402876297,2.6901352706124158,4813,616,51,51,51,51,51,51,51,48,1595,3089,912,46,46,46,46,46,46,46,46,46,47,46,54,1821,49,2486,2708,351,1832,2009,289,53,100,100,75,49,46,50,45,49,46,48,45,43,46,49,50,902,100,3632
OG0000712,0.0387596899224806,0.0824524312896406,0.6108527131782946,2656,3453,602,602,603,600,601,602,602,599,1027,2615,1463,657,657,657,656,658,657,657,656,605,607,605,604,1282,561,2175,1,3122,1273,2580,3051,604,580,588,647,563,502,512,501,521,507,518,686,658,502,562,512,1450,581,3033
OG0000713,0.0775762978671702,0.0317951496123786,3.257936507936508,1677,543,54,54,54,54,54,54,54,50,1593,3087,915,48,48,48,48,48,48,48,48,48,49,48,57,1818,51,2489,2710,349,1830,2011,286,56,103,102,77,51,48,52,47,51,48,50,47,45,48,51,52,905,103,3630
OG0000714,0.0692765362672879,0.0402553419555593,1.9152187681599449,3563,5240,4030,4026,4030,4016,4020,4028,4428,4305,3898,4324,4249,4869,4870,4873,4872,4870,4873,4871,4870,4821,4832,4818,4038,3691,4232,1548,4172,3457,3386,3261,4307,4015,4228,4226,4675,4244,4178,4240,4184,4218,4286,4174,4673,4733,4165,4232,4240,4166,4227,4287
OG0000715,0.0755148970510126,0.0308149845938494,2.934088854018099,2941,1763,171,171,171,171,171,171,171,161,1483,2974,1034,159,159,159,159,159,159,159,159,159,160,159,175,1704,155,2605,2820,236,1720,2130,171,173,217,221,188,155,154,159,153,155,158,154,157,155,154,155,160,1023,216,3520
OG0000716,0.0578378378378378,0.0767567567567567,0.956081081081081,718,1102,1061,1060,1061,1058,1059,1060,1059,1081,541,2142,1925,1129,1128,1129,1128,1129,1128,1129,1128,1075,1080,1074,1064,833,1012,2887,477,2640,791,3054,2610,1062,2356,2353,1117,1015,970,961,973,973,988,969,1166,1139,970,1013,959,1909,2354,2552
OG0000717,0.0862770050811962,0.0389011252518841,2.343628991829091,255,511,2933,2932,2935,2930,2932,2934,2930,3030,2009,295,563,3343,3346,3347,3346,3345,3347,3344,3344,3293,3301,3290,2954,2168,2918,308,2344,751,2197,1642,660,2937,2851,2851,2938,2928,2835,2903,2830,2899,2883,2877,3224,3242,2825,2917,2905,555,2850,391
OG0000718,0.0859645870028738,0.0242792249930471,4.349637681159421,1154,2485,2095,2094,2095,2092,2093,2095,2093,2149,3000,1115,2519,2356,2358,2359,2358,2358,2358,2356,2356,2305,2314,2304,2109,2996,2150,3977,1524,1639,3019,816,1475,2099,1539,1535,2120,2161,2043,2035,2049,2109,2081,2109,2231,2242,2046,2150,2039,2493,1538,1406
OG0000719,0.0747512555149974,0.0334137855621244,2.7966002747252747,1153,2486,2096,2095,2096,2093,2094,2096,2094,2150,2999,1114,2518,2357,2359,2360,2359,2359,2359,2357,2357,2306,2315,2305,2110,2995,2151,3978,1525,1638,3018,817,1474,2100,1538,1534,2121,2162,2044,2036,2050,2110,2082,2110,2232,2243,2047,2151,2040,2492,1537,1405
OG0000720,0.0871729267221594,0.0322888924690336,3.344853784559667,2385,952,975,974,975,972,973,974,973,1002,626,2228,1838,1042,1041,1042,1041,1042,1041,1041,1041,988,991,987,977,919,934,2809,389,2728,878,2976,2688,976,2433,2430,1030,937,893,881,896,895,911,891,1081,1054,893,935,880,1822,2431,2643
OG0000721,0.076624669187265,0.037068178766154,2.8342293327587447,1704,1757,1906,1905,1906,1903,1904,1905,1904,1955,3191,1295,2725,2165,2166,2167,2166,2166,2166,2164,2165,2113,2121,2111,1916,20,1959,3788,1333,1830,3211,634,1667,1910,1731,1725,1928,1970,1852,1844,1858,1917,1888,1917,2039,2051,1856,1958,1847,2679,1729,1597
OG0000722,0.0807090066303815,0.0364421460151502,2.6659051234121334,2191,6767,2465,2463,2466,2460,2461,2464,2461,2556,2444,770,91,2893,2896,2897,2896,2896,2896,2894,2894,2844,2853,2841,2481,2632,2469,759,1849,1241,2685,1196,1092,2469,974,974,2455,2480,2390,2456,2386,2427,2426,2428,2759,2773,2381,2469,2458,88,974,862
OG0000723,0.0808297647897703,0.0359298547702966,2.717425682284173,4961,4419,1560,1559,1560,1557,1558,1559,1558,1552,8,1705,3070,1667,1667,1668,1667,1668,1667,1667,1666,1614,1620,1613,1569,371,1511,3332,944,2183,330,283,2011,1563,2097,2092,1578,1522,1452,1426,1457,1469,1479,1466,1665,1613,1455,1510,1426,3025,2096,2044
OG0000724,0.0698641899045286,0.0430092611651788,2.597220180239048,2524,3353,713,713,713,711,712,713,713,711,898,2505,1576,780,780,780,779,781,780,780,779,726,728,726,715,1171,683,2063,110,3008,1161,2694,2940,715,693,698,759,685,624,633,624,643,630,640,814,785,624,684,633,1561,693,2909
OG0000725,0.0703158722828462,0.0384571908839705,2.376535714285714,3207,7135,3452,3451,3455,3420,3424,3453,3449,3526,4619,3372,4678,3902,3905,3906,3905,3904,3906,3904,3903,3852,3860,3849,3460,4483,3443,4363,3511,4152,4052,4062,3449,3440,3499,3496,4003,3454,3353,3410,3351,3425,3421,3383,3790,3847,3343,3442,3409,4584,3498,3872
OG0000726,0.0789939381179282,0.0382551615849494,2.730345911949686,1022,"5710, 932",1337,1336,1337,1334,1335,1336,1335,1343,187,1902,2208,1429,1428,1429,1428,1429,1428,1429,1428,1375,1381,1374,1343,570,1314,,724,2389,541,83,2275,1340,2273,2270,1378,1326,1212,1228,1217,1272,1237,1271,1486,1434,1216,1315,1227,2186,2272,2225
OG0000727,0.0758649636823216,0.0330993386516114,3.049658060956138,1060,711,795,795,795,793,794,795,795,800,797,2423,1659,877,876,877,876,877,876,876,876,823,826,822,798,1089,762,1970,211,2907,1072,2806,2861,797,778,780,848,765,732,720,735,722,743,719,912,885,732,763,719,1643,778,2808
OG0000728,0.0840568247234036,0.042338119131231,2.372482148508785,1170,6244,1435,1434,1435,1432,1433,1434,1433,1439,90,1806,2310,1576,1575,1576,1575,1576,1575,1576,1575,1522,1528,1521,1443,472,1413,3240,820,2294,444,190,2179,1439,2171,2166,1473,1425,1321,1333,1326,1371,1347,1370,1584,1531,1325,1414,1332,2285,2170,2126
OG0000729,0.07869244002983,0.0241606289491251,4.249456151814643,2359,976,995,994,995,992,993,994,993,1024,605,2208,1858,1063,1062,1063,1062,1063,1062,1062,1062,1009,1012,1008,997,899,954,2829,411,2706,856,2996,2668,996,2413,2410,1052,957,913,901,916,915,931,911,1102,1075,913,955,900,1842,2411,2619
OG0000730,0.0858005950780144,0.0278501583170979,3.70653921550148,5283,3235,4631,4625,4629,4616,4621,4627,4618,4668,4304,4752,3486,5184,5185,5188,5187,5185,5188,5186,5185,5136,5148,5133,4639,3277,4625,4564,3807,3841,3745,4428,4733,4610,4444,4444,4317,4634,4584,4670,4590,4613,4709,4567,5083,5142,4571,4625,4670,3430,4443,5241
OG0000731,0.065126050420168,0.0592903828197945,1.4570011337868485,1301,1825,1630,1629,1630,1627,1628,1629,1628,1638,3553,1629,2998,1733,1733,1734,1733,1734,1733,1733,1732,1680,1686,1679,1640,301,1628,3459,1026,2102,198,351,1941,1633,2010,2005,1652,1639,1521,1495,1526,1586,1548,1583,1731,1679,1524,1627,1495,2955,2009,1978
OG0000732,0.0738398609133346,0.0407551337471814,2.2864262571809744,491,3264,2709,2707,2710,2704,2705,2708,2705,2779,2226,511,333,3126,3129,3130,3129,3129,3129,3127,3127,3076,3085,3073,2725,2402,2701,531,2084,1015,2458,1424,878,2710,2630,2628,2681,2711,2618,2685,2613,2659,2660,2660,3004,3022,2608,2700,2687,329,2629,610
OG0000733,0.0726169172877695,0.0402365562561671,2.7000714285714285,2005,2896,2218,2218,2219,2216,2217,2219,2217,2343,2795,949,2392,2593,2596,2597,2596,2596,2596,2594,2594,2544,2553,2541,2232,2873,2297,4115,1633,1529,2896,927,1351,2221,1414,1413,2230,2308,2217,2182,2216,2255,2249,2256,2411,2424,2210,2297,2186,2370,1413,1173
OG0000734,0.0789014656860958,0.0349946284940698,3.291970121381886,196,3699,3134,3133,3136,3131,3133,3135,3131,3272,1726,91,764,3607,3610,3611,3610,3609,3611,3608,3608,3557,3565,3554,3157,1968,3161,96,2563,516,1971,1862,456,3139,3075,3074,3171,3171,3079,3125,3076,3142,3138,3097,3509,3567,3068,3160,3127,756,3073,92
OG0000735,0.0838682934225659,0.0340749339633307,2.916170540983249,1560,4859,3905,3901,3906,3892,3896,3904,4552,4422,4049,4456,4376,4322,4323,4326,4325,4324,4326,4324,4323,4272,4281,4268,3913,3569,4347,1671,4057,3581,3502,4969,4429,3891,4404,4404,4561,4359,4292,4367,4299,4334,4406,4289,4825,4884,4279,4347,4367,4290,4403,4135
OG0000736,0.0798638160006429,0.0396622091970793,2.4166964979464978,2512,4215,728,728,728,726,727,728,728,726,882,2490,1591,796,795,795,795,796,795,795,795,742,744,741,730,1156,698,2048,125,2993,1146,2709,2925,730,708,713,774,700,639,648,639,658,645,655,830,801,639,699,648,1576,708,2894
OG0000737,0.0847529317623176,0.0297215179136834,3.8761554621848737,2215,3196,2484,2482,2485,2479,2480,2483,2480,2574,2423,751,110,2914,2917,2918,2917,2917,2917,2915,2915,2865,2874,2862,2500,2613,2490,736,1867,1223,2667,1215,1073,2488,952,953,2473,2501,2411,2477,2407,2448,2447,2449,2780,2794,2402,2490,2479,107,952,840
OG0000738,0.0777224030062749,0.0362328441516366,2.536556500488389,171,335,3091,3090,3093,3088,3090,3092,3088,3227,1774,131,722,3557,3560,3561,3560,3559,3561,3558,3558,3507,3515,3504,3114,2011,3119,140,2518,554,2015,1821,499,3096,3030,3028,3126,3129,3038,3082,3035,3100,3090,3055,3461,3519,3027,3118,3084,713,3028,145
OG0000739,0.0853046834400099,0.0354151646072,3.178148371544598,4354,6691,4665,4659,4663,4650,4655,4661,4652,4703,4337,4784,3448,5217,5218,5221,5220,5218,5221,5219,5218,5169,5181,5166,4672,3243,4659,4598,3770,3877,3779,4396,4767,4643,4479,4478,4281,4668,4618,4705,4624,4647,4744,4601,5116,5175,4606,4662,4705,3396,4478,5274
OG0000740,0.0862536339707505,0.0322153144530485,3.286353531164852,1851,1812,2062,2061,2062,2059,2060,2061,2060,2115,3033,1148,2561,2323,2324,2325,2324,2324,2324,2322,2323,2271,2280,2270,2074,3029,2116,3944,1490,1674,3053,781,1508,2066,1572,1568,2086,2127,2009,2001,2016,2074,2046,2074,2198,2209,2013,2115,2004,2526,1571,1439
OG0000741,0.0722100017705715,0.0302217240002777,3.33426924228811,,"3501, 6934",3312,3311,3314,3550,3554,3313,3309,3441,4483,3231,4816,3763,3766,3767,3766,3765,3767,3764,3764,3713,3721,3710,3321,4610,3334,2742,3616,4049,3942,4206,3317,3301,3198,3198,4095,3344,3234,3284,3232,3315,3295,3270,3655,3712,3223,3333,3286,4724,3195,3731
OG0000742,0.0672216252924555,0.0386766795214435,2.417290911394685,"2708, 3689",,3297,3296,3299,3565,3569,3298,3294,3422,4476,3212,4831,3756,3759,3760,3759,3758,3760,3757,3757,3706,3714,3703,3305,4625,3324,2728,3635,4027,3923,4224,3302,3286,3184,3184,4114,3334,3225,3274,3223,3305,3286,3260,3648,3705,3214,3323,3276,4739,3181,3724
OG0000743,0.0848244956672706,0.0312133679803636,3.319902693460385,,"3895, 5900",577,577,578,575,576,577,577,573,1053,2641,1438,631,631,631,630,632,631,631,630,579,581,579,579,1307,535,2201,3264,3148,1298,2554,3076,579,556,564,620,537,476,484,475,495,481,492,660,632,476,536,484,1425,557,3059
OG0000744,0.0818264186226609,0.0281358635607279,3.4726901766996106,1618,2424,1846,1845,1846,1843,1844,1845,1844,1899,3254,1350,2785,2103,2104,2105,2104,2104,2104,2102,2103,2051,2059,2049,1855,80,1898,3728,1277,1885,3266,578,1727,1849,1791,1785,1872,1909,1791,1782,1797,1856,1826,1856,1976,1988,1795,1897,1785,2739,1789,1659
OG0000745,0.084035820948724,0.0350069614428554,3.0438611122847203,2959,3836,385,385,386,383,384,385,385,344,1288,2825,1240,444,444,444,443,444,444,444,443,392,394,392,387,1498,357,4735,3046,35,1520,2373,44,386,367,373,402,358,296,299,295,289,301,288,415,398,296,357,300,1231,368,3279
OG0000746,0.080837732727123,0.0314541515642308,3.0567001734093573,2,2,2,2,2,2,2,2,2,2,1636,3154,862,2,2,2,2,2,2,2,2,2,2,2,2,1873,2,2664,2655,422,1877,1955,357,2,3124,3124,2,2,2,2,2,2,2,2,2,2,2,2,2,851,3122,3
OG0000747,0.081803613053613,0.0266122766122766,3.857765151515152,34,2760,4517,4512,4516,4502,4507,4514,3943,3686,4784,3545,3603,4071,4073,4075,4074,4073,4075,4072,4072,4021,4029,4018,4525,4320,3575,923,3332,4315,4214,4734,3611,4497,3393,3389,3825,3587,3529,3543,3529,3558,3604,3516,3954,4014,3519,3575,3542,3543,3392,4945
OG0000748,0.086245565759447,0.0329686722194639,3.040031945179004,43,1039,71,71,71,71,71,71,71,67,1572,3070,933,69,69,69,69,69,69,69,69,69,70,69,74,1801,68,2506,2727,332,1813,2028,269,73,120,119,94,68,68,69,67,68,69,67,68,66,68,68,70,922,120,3609
OG0000749,0.071837646970489,0.027326657589818,3.5288239538239536,44,1038,72,72,72,72,72,72,72,68,1571,3069,934,70,70,70,70,70,70,70,70,70,71,70,75,1800,69,2507,2728,331,1812,2029,268,74,121,120,95,69,69,70,68,69,70,68,69,67,69,69,71,923,121,3608
OG0000750,0.067891917074307,0.0405497321220591,2.0101851851851853,45,1037,73,73,73,73,73,73,73,69,1570,3068,935,71,71,71,71,71,71,71,71,71,72,71,76,1799,70,2508,2729,330,1811,2030,267,75,122,121,96,70,70,71,69,70,71,69,70,68,70,70,72,924,122,3607
OG0000751,0.0797891163368624,0.0314380611773807,3.14496303816956,46,2242,4138,4134,4138,4124,4128,4136,4320,3877,5045,3857,3835,4419,4420,4423,4422,4421,4423,4421,4420,4369,4378,4366,4148,4094,3733,1131,4584,4521,4406,3790,3894,4123,3780,3774,3629,3746,3689,3699,3691,3716,3771,3674,4220,4278,3679,3733,3699,3771,3779,4745
OG0000752,0.0792542725657273,0.0318876017246171,3.1246242489167018,47,306,3199,3198,3201,3196,3198,3200,3196,3334,1662,29,830,3670,3673,3674,3673,3672,3674,3671,3671,3620,3628,3617,3223,1903,3221,29,2625,453,1909,1925,389,3205,29,29,3233,3231,3139,3186,3136,3202,3199,3157,3573,3631,3128,3220,3188,821,29,29
OG0000753,0.0764371111551812,0.0333694037822828,2.699329213147193,48,314,3166,3165,3168,3163,3165,3167,3163,3304,1694,59,797,3639,3642,3643,3642,3641,3643,3640,3640,3589,3597,3586,3190,1936,3192,62,2595,483,1939,1894,424,3172,3106,3106,3203,3202,3110,3156,3107,3173,3170,3128,3541,3599,3099,3191,3158,788,3104,60
OG0000754,0.0781520352757931,0.0329403329396945,2.7695578231292517,52,312,3162,3161,3164,3159,3161,3163,3159,3300,1698,63,793,3635,3638,3639,3638,3637,3639,3636,3636,3585,3593,3582,3186,1940,3188,65,2591,487,1943,1890,428,3168,3103,3102,3199,3198,3106,3152,3103,3169,3166,3124,3537,3595,3095,3187,3154,784,3101,64
OG0000755,0.0680275199091326,0.0348427519649507,2.7326763514263512,54,310,3160,3159,3162,3157,3159,3161,3157,3298,1700,65,791,3633,3636,3637,3636,3635,3637,3634,3634,3583,3591,3580,3184,1942,3186,67,2589,489,1945,1888,430,3166,3101,3100,3197,3196,3104,3150,3101,3167,3164,3122,3535,3593,3093,3185,3152,782,3099,66
OG0000756,0.0922061219984419,0.0313035211551592,5.368921016090828,55,309,3159,3158,3161,3156,3158,3160,3156,3297,1701,66,790,3632,3635,3636,3635,3634,3636,3633,3633,3582,3590,3579,3183,1943,3185,68,2588,490,1946,1887,431,3165,3100,3099,3196,3195,3103,3149,3100,3166,3163,3121,3534,3592,3092,3184,3151,781,3098,67
OG0000757,0.0798410202302227,0.0329861544592696,3.039012896825397,57,307,3157,3156,3159,3154,3156,3158,3154,3295,1703,68,788,3630,3633,3634,3633,3632,3634,3631,3631,3580,3588,3577,3181,1945,3183,70,2586,492,1948,1885,433,3163,3098,3097,3194,3193,3101,3147,3098,3164,3161,3119,3532,3590,3090,3182,3149,779,3096,69
OG0000758,0.0815680722718381,0.0284317921386867,3.66901772693948,58,333,3167,3166,3169,3164,3166,3168,3164,3305,1693,58,798,3640,3643,3644,3643,3642,3644,3641,3641,3590,3598,3587,3191,1935,3193,61,2596,482,1938,1895,423,3173,3107,3107,3204,3203,3111,3157,3108,3174,3171,3129,3542,3600,3100,3192,3159,789,3105,59
OG0000759,0.07634266746652,0.0364420515795149,3.1135351966873706,59,332,3168,3167,3170,3165,3167,3169,3165,3306,1692,57,799,3641,3644,3645,3644,3643,3645,3642,3642,3591,3599,3588,3192,1934,3194,60,2597,481,1937,1896,422,3174,3108,3108,3205,3204,3112,3158,3109,3175,3172,3130,3543,3601,3101,3193,3160,790,3106,58
OG0000760,0.0774737400685069,0.0306593204153285,3.161601307189542,62,489,2953,2952,2955,2950,2952,2954,2950,3049,1967,276,583,3362,3365,3366,3365,3364,3366,3363,3363,3312,3320,3309,2974,2149,2961,289,2363,732,2176,1661,641,2957,2871,2871,2959,2971,2855,2923,2850,2942,2904,2897,3266,3323,2845,2960,2925,575,2870,344
OG0000761,0.0794034344829372,0.0381116416527705,2.5444132523459446,67,3705,1212,1211,1212,1209,1210,1211,1210,1240,319,2022,2079,1293,1292,1293,1292,1293,1292,1293,1292,1239,1245,1238,1215,682,1185,3067,620,2491,644,3166,2445,1213,1256,1253,1276,1197,1095,1087,1099,1143,1117,1142,1346,1302,1095,1186,1085,2060,1255,2388
OG0000762,0.0838519166813529,0.031836463175979,3.3449808577167066,68,3706,1213,1212,1213,1210,1211,1212,1211,1241,318,2021,2080,1294,1293,1294,1293,1294,1293,1294,1293,1240,1246,1239,1216,681,1186,3068,621,2490,643,3167,2444,1214,1257,1254,1277,1198,1096,1088,1100,1144,1118,1143,1347,1303,1096,1187,1086,2061,1256,2387
OG0000763,0.0721007773450138,0.0367160373618261,2.402658736750931,72,481,2957,2956,2959,2954,2956,2958,2954,3053,1961,267,587,3369,3372,3373,3372,3371,3373,3370,3370,3319,3327,3316,2978,2145,2967,283,2367,727,2172,1671,637,2961,2880,2880,2963,2977,2861,2929,2857,2948,2911,2903,3272,3329,2851,2966,2931,579,2879,338
OG0000764,0.0704795431384573,0.0464840298268351,1.9138313992087577,73,480,2958,2957,2960,2955,2957,2959,2955,3054,1960,266,588,3370,3373,3374,3373,3372,3374,3371,3371,3320,3328,3317,2979,2144,2968,282,2368,726,2171,1672,636,2962,2881,2881,2964,2978,2862,2930,2858,2949,2912,2904,3273,3330,2852,2967,2932,580,2880,337
OG0000765,0.0867474013109671,0.0266771761629137,4.230300988319856,74,479,2959,2958,2961,2956,2958,2960,2956,3055,1959,265,589,3371,3374,3375,3374,3373,3375,3372,3372,3321,3329,3318,2980,2143,2969,281,2369,725,2170,1673,635,2963,2882,2882,2965,2979,2863,2931,2859,2950,2913,2905,3274,3331,2853,2968,2933,581,2881,336
OG0000766,0.0855648376473777,0.0315706093083213,3.797435897435897,75,478,2960,2959,2962,2957,2959,2961,2957,3056,1958,264,590,3372,3375,3376,3375,3374,3376,3373,3373,3322,3330,3319,2981,2142,2970,280,2370,724,2169,1674,634,2964,2883,2883,2966,2980,2864,2932,2860,2951,2914,2906,3275,3332,2854,2969,2934,582,2882,335
OG0000767,0.0787958513579504,0.031402875464504,3.5996031746031747,76,477,2961,2960,2963,2958,2960,2962,2958,3057,1957,263,591,3373,3376,3377,3376,3375,3377,3374,3374,3323,3331,3320,2982,2141,2971,279,2371,723,2168,1675,633,2965,2884,2884,2967,2981,2865,2933,2861,2952,2915,2907,3276,3333,2855,2970,2935,583,2883,334
OG0000768,0.0785638579756226,0.0352411234764175,3.1287581699346405,77,476,2962,2961,2964,2959,2961,2963,2959,3058,1956,262,592,3374,3377,3378,3377,3376,3378,3375,3375,3324,3332,3321,2983,2140,2972,278,2372,722,2167,1676,632,2966,2885,2885,2968,2982,2866,2934,2862,2953,2916,2908,3277,3334,2856,2971,2936,584,2884,333
OG0000769,0.0770677438300852,0.0357950885388547,2.7810868261560304,78,475,2963,2962,2965,2960,2962,2964,2960,3059,1955,261,593,3375,3378,3379,3378,3377,3379,3376,3376,3325,3333,3322,2984,2139,2973,277,2373,721,2166,1677,631,2967,2886,2886,2969,2983,2867,2935,2863,2954,2917,2909,3278,3335,2857,2972,2937,585,2885,332
OG0000770,0.0678922916591424,0.0414163011628436,1.827791763020164,79,474,2964,2963,2966,2961,2963,2965,2961,3060,1954,260,594,3376,3379,3380,3379,3378,3380,3377,3377,3326,3334,3323,2985,2138,2974,276,2374,720,2165,1678,630,2968,2887,2887,2970,2984,2868,2936,2864,2955,2918,2910,3279,3336,2858,2973,2938,586,2886,331
OG0000771,0.0811009495768062,0.0317146282122329,3.371445579512297,80,473,2965,2964,2967,2962,2964,2966,2962,3061,1953,259,595,3377,3380,3381,3380,3379,3381,3378,3378,3327,3335,3324,2986,2137,2975,275,2375,719,2164,1679,629,2969,2888,2888,2971,2985,2869,2937,2865,2956,2919,2911,3280,3337,2859,2974,2939,587,2887,330
OG0000772,0.0850183362168204,0.0273501212145887,4.638169403971291,83,471,2969,2968,2971,2966,2968,2970,2966,3065,1949,255,599,3381,3384,3385,3384,3383,3385,3382,3382,3331,3339,3328,2990,2133,2979,271,2379,715,2160,1683,625,2973,2892,2892,2975,2989,2873,2941,2869,2960,2923,2915,3284,3341,2863,2978,2943,591,2891,326
