Orthogroup	Ct_LMG19424.IS.tmp.45428	Pp_PsJN.IS.tmp.45708	Rs_068_2.IS.tmp.45974	Rs_071-2.IS.tmp.46234	Rs_077-080_1.IS.tmp.46490	Rs_095-3.IS.tmp.46746	Rs_102-3.IS.tmp.47027	Rs_115-4.IS.tmp.47283	Rs_144-1.IS.tmp.47548	Rs_AHR56.IS.tmp.47805	Rs_Bs715.IS.tmp.48082	Rs_CFBP2957.IS.tmp.48339	Rs_CIAT_078.IS.tmp.48596	Rs_FJAT1458F1.IS.tmp.48854	Rs_FJAT1458F50.IS.tmp.49132	Rs_FJAT1463F1.IS.tmp.49397	Rs_FJAT1463F50.IS.tmp.49711	Rs_FJAT15249F1.IS.tmp.49968	Rs_FJAT15249F50.IS.tmp.50225	Rs_FJAT15252F1.IS.tmp.50481	Rs_FJAT15252F50.IS.tmp.50741	Rs_FJAT448F1.IS.tmp.50998	Rs_FJAT448F50.IS.tmp.51254	Rs_FJAT454F1.IS.tmp.51509	Rs_IBSBF.IS.tmp.52041	Rs_IBSBF1503.IS.tmp.51785	Rs_KACC.IS.tmp.52297	Rs_MolK2.IS.tmp.52573	Rs_NCSU_Rs32.IS.tmp.52829	Rs_NCSU_Rs45488.IS.tmp.53085	Rs_NCSU_RsMR-FL01.IS.tmp.53341	Rs_P597.IS.tmp.53597	Rs_P673.IS.tmp.53853	Rs_Po82.IS.tmp.54132	Rs_RS_v1.IS.tmp.54648	Rs_RS_v2.IS.tmp.54904	Rs_Rs5.IS.tmp.54388	Rs_SL2064.IS.tmp.55181	Rs_SL2312.IS.tmp.55447	Rs_SL3175.IS.tmp.55703	Rs_T101.IS.tmp.55958	Rs_T11.IS.tmp.56236	Rs_T12.IS.tmp.56492	Rs_T51.IS.tmp.56748	Rs_T60.IS.tmp.57003	Rs_T78.IS.tmp.57259	Rs_T82.IS.tmp.57514	Rs_T95.IS.tmp.57770	Rs_T98.IS.tmp.58026	Rs_UW163.IS.tmp.58287	Rs_UY031.IS.tmp.58564	Rs_Wj644.IS.tmp.58819	Total
OG0000010	0	0	5	5	5	5	5	5	5	1	3	4	2	3	3	3	3	3	3	3	3	3	3	3	5	5	3	5	1	1	1	4	5	5	1	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	1	3	159
OG0000011	102	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	153
OG0000012	1	0	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	153
OG0000013	0	1	4	4	4	4	4	4	4	2	3	4	4	3	3	3	3	3	3	3	3	3	3	3	4	6	2	3	2	3	2	3	4	4	2	2	3	2	2	3	2	2	2	2	3	4	2	2	3	4	2	2	152
OG0000014	0	0	3	3	3	3	3	3	3	1	6	3	2	5	5	5	5	5	5	5	5	5	5	5	3	3	2	3	2	2	2	4	3	3	1	1	2	2	1	1	1	1	1	1	7	6	1	2	1	3	1	4	152
OG0000015	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	152
OG0000016	0	1	9	8	9	8	8	8	8	1	2	4	8	1	1	1	1	1	1	1	1	1	1	1	10	4	0	3	1	1	1	2	1	10	7	6	1	0	0	0	0	0	0	0	2	2	0	0	0	9	7	0	152
OG0000017	0	0	4	4	4	4	4	4	4	1	4	2	3	4	4	4	4	4	4	4	4	4	4	4	3	2	2	1	1	2	1	3	2	3	1	1	2	2	2	3	2	2	2	2	4	5	2	2	3	4	1	2	144
OG0000018	0	1	8	7	8	7	7	7	7	0	3	3	4	2	2	2	2	2	2	2	2	2	2	2	9	3	0	0	0	0	0	2	0	9	6	6	0	0	0	0	0	0	0	0	3	3	0	0	0	8	6	1	140
OG0000019	0	0	2	2	2	2	2	2	2	1	6	2	2	5	5	5	5	5	5	5	5	5	5	5	2	2	1	2	2	2	1	3	2	2	1	1	2	1	1	2	1	1	1	1	7	6	1	1	2	2	1	4	135
OG0000020	1	1	3	3	3	3	3	3	3	3	2	3	3	2	2	2	2	1	2	2	2	2	1	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	3	3	3	3	3	2	135
OG0000021	0	4	0	0	0	0	0	0	0	0	7	0	1	9	9	9	9	9	9	9	9	9	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	9	134
OG0000022	1	1	2	2	2	2	2	2	2	2	4	2	2	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	4	2	2	2	2	2	4	132
OG0000023	0	0	1	1	1	1	1	1	1	0	3	3	1	2	2	2	2	2	2	2	2	2	2	2	1	1	5	2	1	1	0	3	1	1	1	1	2	5	6	7	6	6	6	5	2	2	6	5	7	1	1	2	123
OG0000024	0	0	3	3	3	3	3	3	2	1	4	2	3	4	4	4	4	4	4	4	4	4	4	4	3	2	1	1	1	2	1	2	2	3	1	1	2	1	1	2	1	1	1	1	4	4	1	1	2	3	1	2	122
OG0000025	0	7	1	1	1	1	1	1	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	3	1	2	2	2	3	15	2	1	2	3	2	1	3	3	3	1	3	1	2	2	3	1	3	1	2	10	121
OG0000026	1	0	1	1	1	1	1	1	1	0	2	0	1	4	4	4	4	4	4	4	4	4	4	4	1	1	5	0	0	0	0	0	2	1	1	0	0	5	3	5	3	5	3	5	3	3	3	5	5	1	1	2	118
OG0000027	0	0	2	2	2	2	2	2	2	0	5	2	2	5	5	5	5	5	5	5	5	5	5	5	2	2	1	1	1	2	1	2	2	2	1	1	1	1	0	1	0	0	0	0	6	5	0	1	1	2	1	3	118
OG0000028	1	1	3	3	3	3	3	3	3	2	2	1	3	2	2	2	2	2	2	2	2	2	2	2	3	3	2	3	2	2	2	1	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	2	117
OG0000029	0	0	2	2	2	2	2	2	2	1	6	3	2	4	4	4	4	4	4	4	4	4	4	4	2	2	1	1	1	2	1	4	2	2	2	2	1	1	0	1	0	0	0	0	7	6	0	1	1	2	2	3	117
OG0000030	0	0	2	2	2	2	2	2	2	2	3	1	1	4	4	4	4	4	4	4	4	4	4	4	1	2	2	3	1	2	2	3	1	1	2	2	2	2	1	1	1	1	1	1	4	4	1	2	1	2	2	2	115
OG0000031	0	1	2	2	2	2	2	2	2	1	6	2	2	4	4	4	4	4	4	4	4	4	4	4	2	2	1	1	1	1	1	2	2	2	1	1	1	1	0	1	0	0	0	0	7	6	0	1	1	2	1	5	113
OG0000032	0	0	2	2	2	2	2	2	2	0	4	2	2	4	4	4	4	4	4	4	4	4	4	4	2	2	1	1	1	2	1	2	2	2	1	1	1	1	1	2	1	0	1	0	5	4	1	1	2	2	1	3	110
OG0000033	3	0	0	0	0	0	0	0	0	12	3	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	17	27	13	0	0	0	0	0	17	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	109
OG0000034	1	1	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	109
OG0000035	1	1	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	109
OG0000036	3	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	3	108
OG0000037	0	0	2	2	2	2	2	2	2	0	4	3	1	4	4	4	4	4	4	4	4	4	4	4	2	2	1	1	1	2	1	2	2	2	1	1	1	1	1	1	1	0	1	0	5	4	1	1	1	2	1	3	108
OG0000038	0	0	2	2	2	2	2	2	2	0	4	2	2	4	4	4	4	4	4	4	4	4	4	4	2	2	0	1	1	2	1	2	2	2	1	2	1	0	1	1	1	0	1	0	5	4	1	0	1	2	1	3	106
OG0000039	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	105
OG0000040	4	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	105
OG0000041	1	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	104
OG0000042	0	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	104
OG0000043	3	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	103
OG0000044	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	3	2	2	2	103
OG0000045	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	103
OG0000046	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	103
OG0000047	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	103
OG0000048	0	0	2	2	2	2	2	2	2	0	4	2	2	4	4	4	4	4	4	4	4	4	4	4	2	2	1	1	1	1	1	2	2	2	1	1	1	1	0	1	0	0	0	0	5	4	0	1	1	2	1	3	103
OG0000049	0	0	1	1	1	1	1	1	1	1	4	3	1	3	3	3	3	3	3	3	3	3	3	3	1	1	2	1	1	1	1	3	2	1	0	0	1	2	4	2	4	2	4	2	4	4	4	2	2	1	0	2	103
OG0000050	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	102
OG0000051	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	102
OG0000052	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	102
OG0000053	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	102
OG0000054	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	102
OG0000055	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	102
OG0000056	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	102
OG0000057	0	0	2	2	2	2	2	2	2	0	4	2	2	4	4	4	4	4	4	4	4	4	4	4	2	2	0	1	1	3	1	2	2	2	1	1	1	0	0	1	0	0	0	0	5	4	0	0	1	2	1	3	102
OG0000058	0	0	2	2	2	2	2	2	2	1	4	3	1	3	3	3	3	3	3	3	3	3	3	3	2	2	2	1	1	1	1	3	2	2	0	0	1	2	1	2	1	1	1	1	5	4	1	2	2	2	0	3	102
OG0000059	0	0	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	102
OG0000060	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	101
OG0000061	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	101
OG0000062	1	2	2	2	2	2	2	2	2	0	3	2	1	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	0	0	0	2	2	2	1	1	0	2	2	1	2	2	2	2	3	3	2	2	1	1	1	3	101
OG0000063	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	101
OG0000064	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	101
OG0000065	0	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	101
OG0000066	0	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	101
OG0000067	0	0	2	2	2	2	2	2	2	0	4	2	2	4	4	4	4	4	4	4	4	4	4	4	2	2	0	1	1	2	1	2	2	2	1	1	1	0	0	1	0	0	0	0	5	4	0	0	1	2	1	3	101
OG0000068	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	100
OG0000069	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	100
OG0000070	0	0	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	3	2	2	3	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	99
OG0000071	0	0	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	2	2	2	2	2	2	2	1	2	1	2	1	2	2	2	1	2	2	2	2	2	99
OG0000072	0	0	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	98
OG0000073	0	0	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	2	2	2	1	1	2	2	1	2	1	2	1	2	2	2	1	2	2	2	1	2	96
OG0000074	0	0	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	2	2	2	1	1	2	2	1	2	1	2	1	2	2	2	1	2	2	2	1	2	96
OG0000075	0	0	2	2	2	2	2	2	2	1	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	1	2	1	1	1	1	2	3	1	1	1	1	0	3	0	1	0	1	3	3	0	1	3	2	1	2	96
OG0000076	1	1	2	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	95
OG0000077	0	1	2	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	2	2	1	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	95
OG0000078	0	0	1	1	1	1	2	1	1	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	1	3	3	3	2	2	1	1	1	4	2	2	3	2	2	2	2	2	3	1	2	3	2	1	2	95
OG0000079	0	0	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	2	3	2	2	2	1	1	2	2	1	2	1	2	1	2	2	2	1	2	2	2	1	2	95
OG0000080	0	0	0	0	0	0	0	0	0	10	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	3	0	12	14	10	1	0	0	0	0	9	3	2	1	2	3	2	3	1	1	2	3	1	0	0	0	95
OG0000081	0	1	2	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	94
OG0000082	0	0	2	2	2	2	2	2	2	1	5	3	2	3	3	3	3	3	3	3	3	3	3	3	2	2	1	1	1	1	1	3	2	2	0	0	1	1	0	1	0	0	0	0	5	4	0	1	1	2	0	3	93
OG0000083	0	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	3	2	2	2	2	2	1	1	1	1	1	1	1	2	2	1	1	1	2	2	3	92
OG0000084	0	1	2	2	2	2	2	2	2	1	4	2	2	3	3	3	3	3	3	3	3	3	3	3	2	2	1	1	1	1	1	2	2	2	1	1	1	1	0	1	0	0	0	0	4	4	0	1	1	2	1	2	92
OG0000085	0	1	2	2	2	2	2	2	2	1	4	3	2	3	3	3	3	3	3	3	3	3	3	3	2	2	1	1	1	1	1	3	1	2	0	0	1	1	0	1	0	0	0	0	5	4	0	1	1	2	0	3	92
OG0000086	0	1	3	3	3	3	3	3	3	2	1	4	3	1	1	1	1	1	1	1	1	1	1	1	3	3	1	3	3	3	2	3	3	3	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	3	1	2	92
OG0000087	0	0	2	2	2	2	2	2	2	1	4	3	2	3	3	3	3	3	3	3	3	3	3	3	2	2	1	1	1	1	1	3	2	2	0	0	1	1	0	1	0	0	0	0	5	4	0	1	1	2	0	3	92
OG0000088	0	3	2	2	2	2	2	2	2	0	2	1	2	3	3	3	3	3	3	3	3	3	3	3	3	2	1	2	0	0	0	1	2	2	1	1	0	1	1	2	1	1	1	1	2	2	1	1	2	2	1	2	91
OG0000089	0	0	3	3	3	3	3	3	3	5	1	0	4	1	1	1	1	1	1	1	1	1	1	1	3	3	0	0	6	13	2	0	4	3	0	0	8	0	0	0	0	0	0	0	0	1	0	0	0	5	0	1	91
OG0000090	0	1	6	7	6	6	6	7	6	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	6	8	3	0	0	4	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	90
OG0000091	0	1	1	1	1	1	1	1	1	3	3	1	1	3	3	3	3	3	3	3	3	3	3	3	1	1	0	1	3	3	3	3	1	1	1	1	1	0	2	1	2	0	2	0	3	3	2	0	1	1	1	3	90
OG0000092	1	3	2	2	2	2	2	2	2	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	1	89
OG0000093	2	2	2	2	2	2	2	2	2	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	1	89
OG0000094	1	2	2	2	2	2	2	2	2	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	1	88
OG0000095	0	0	1	1	1	1	1	1	1	0	2	4	1	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	0	0	0	1	1	1	3	2	0	2	3	4	3	2	3	2	2	2	3	2	4	1	3	2	88
OG0000096	2	1	2	2	2	2	2	2	2	0	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	3	0	0	0	0	2	2	3	3	0	1	1	3	1	1	1	1	2	2	1	1	3	2	3	2	86
OG0000097	0	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	1	1	2	1	1	1	1	1	1	1	2	2	1	1	1	2	1	2	86
OG0000098	1	1	1	1	1	1	1	1	1	0	3	2	1	3	3	3	3	3	3	3	3	3	3	3	1	1	1	1	0	1	0	2	1	1	2	2	0	1	1	2	1	1	1	1	3	3	1	1	2	1	2	3	85
OG0000099	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	1	1	2	1	1	1	1	1	1	1	2	2	1	1	1	2	1	2	85
OG0000100	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	1	1	2	1	1	1	1	1	1	1	2	2	1	1	1	2	1	2	85
OG0000101	1	1	2	2	2	2	2	2	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	1	84
OG0000102	0	0	2	2	2	2	2	2	2	1	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	1	1	2	2	2	1	1	2	1	1	1	1	0	1	0	4	3	1	1	1	2	1	2	84
OG0000103	1	1	2	2	2	2	2	2	2	1	2	1	2	3	3	3	3	3	3	3	3	2	2	2	2	2	1	2	0	0	2	1	1	2	2	2	0	1	0	0	0	1	0	1	1	3	0	1	0	2	2	2	83
OG0000104	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	1	2	1	1	1	1	2	1	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	83
OG0000105	1	2	2	2	2	2	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	2	2	2	2	2	1	2	2	2	2	2	2	2	1	1	2	2	2	2	2	1	83
