"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","BHKY","BuffGH_2022","EaSmR","ICMP5845","MDCuke_2022","PSU-1","SCR3"
"rplN","","Large ribosomal subunit protein uL14","7","7","1","4","8894","","","","371","371","371","POCPNIHP_00614","JKPFCNPL_00913","FENHPGCI_00310","PNIFCKEH_00715","JIDLLDEG_04895","EJNDHMEK_01717","MAOBNCNO_04783"
"rplR","","Large ribosomal subunit protein uL18","7","7","1","4","8901","","","","353","353","353","POCPNIHP_00620","JKPFCNPL_00919","FENHPGCI_00316","PNIFCKEH_00709","JIDLLDEG_04889","EJNDHMEK_01711","MAOBNCNO_04777"
"atpE_2","","ATP synthase subunit c","7","7","1","4","10077","","","","242","242","242","POCPNIHP_05422","JKPFCNPL_05508","FENHPGCI_00016","PNIFCKEH_01297","JIDLLDEG_05362","EJNDHMEK_03976","MAOBNCNO_05248"
"rplB","","Large ribosomal subunit protein uL2","7","7","1","4","8886","","","","821","821","821","POCPNIHP_00607","JKPFCNPL_00906","FENHPGCI_00303","PNIFCKEH_00722","JIDLLDEG_04902","EJNDHMEK_01724","MAOBNCNO_04790"
"lpp1","","Major outer membrane lipoprotein Lpp 1","7","7","1","4","8042","","","","236","236","236","POCPNIHP_03013","JKPFCNPL_03373","FENHPGCI_01684","PNIFCKEH_04350","JIDLLDEG_02442","EJNDHMEK_00180","MAOBNCNO_02354"
"rpmB","","Large ribosomal subunit protein bL28","7","7","1","4","5048","","","","236","236","236","POCPNIHP_05160","JKPFCNPL_00421","FENHPGCI_03402","PNIFCKEH_00566","JIDLLDEG_04773","EJNDHMEK_02723","MAOBNCNO_04662"
"rpsD","","Small ribosomal subunit protein uS4","7","7","1","4","8909","","","","620","620","620","POCPNIHP_00628","JKPFCNPL_00927","FENHPGCI_00324","PNIFCKEH_00700","JIDLLDEG_04881","EJNDHMEK_01703","MAOBNCNO_04769"
"rpoZ","","DNA-directed RNA polymerase subunit omega","7","7","1","4","5010","","","","275","275","275","POCPNIHP_05217","JKPFCNPL_00364","FENHPGCI_03435","PNIFCKEH_00625","JIDLLDEG_04821","EJNDHMEK_02778","MAOBNCNO_04710"
"secY","","Protein translocase subunit SecY","7","7","1","4","8905","","","","1331","1331","1331","POCPNIHP_00624","JKPFCNPL_00923","FENHPGCI_00320","PNIFCKEH_00704","JIDLLDEG_04885","EJNDHMEK_01707","MAOBNCNO_04773"
"rpsG","","Small ribosomal subunit protein uS7","7","7","1","4","8877","","","","470","470","470","POCPNIHP_00598","JKPFCNPL_00897","FENHPGCI_00296","PNIFCKEH_00732","JIDLLDEG_04911","EJNDHMEK_01733","MAOBNCNO_04799"
"rpmI","","Large ribosomal subunit protein bL35","7","7","1","4","8347","","","","197","197","197","POCPNIHP_03056","JKPFCNPL_03415","FENHPGCI_01658","PNIFCKEH_04293","JIDLLDEG_02403","EJNDHMEK_00227","MAOBNCNO_02315"
"rpmG","","Large ribosomal subunit protein bL33","7","7","1","4","5069","","","","167","167","167","POCPNIHP_05159","JKPFCNPL_00422","FENHPGCI_03401","PNIFCKEH_00565","JIDLLDEG_04772","EJNDHMEK_02722","MAOBNCNO_04661"
"hslV","","ATP-dependent protease subunit HslV","7","7","1","4","5120","","","","530","530","530","POCPNIHP_05099","JKPFCNPL_00482","FENHPGCI_03350","PNIFCKEH_06590","JIDLLDEG_04275","EJNDHMEK_02663","MAOBNCNO_04172"
"rplS","","Large ribosomal subunit protein bL19","7","7","1","4","6818","","","","347","350","349","POCPNIHP_01984","JKPFCNPL_02339","FENHPGCI_00883","PNIFCKEH_05545","JIDLLDEG_03417","EJNDHMEK_04883","MAOBNCNO_03326"
"csrA","","Carbon storage regulator","7","7","1","4","6832","","","","185","185","185","POCPNIHP_01970","JKPFCNPL_02325","FENHPGCI_00868","PNIFCKEH_05559","JIDLLDEG_03431","EJNDHMEK_04897","MAOBNCNO_03340"
"rpsN","","Small ribosomal subunit protein uS14","7","7","1","4","8897","","","","305","305","305","POCPNIHP_00617","JKPFCNPL_00916","FENHPGCI_00313","PNIFCKEH_00712","JIDLLDEG_04892","EJNDHMEK_01714","MAOBNCNO_04780"
"rplX","","Large ribosomal subunit protein uL24","7","7","1","4","8895","","","","314","314","314","POCPNIHP_00615","JKPFCNPL_00914","FENHPGCI_00311","PNIFCKEH_00714","JIDLLDEG_04894","EJNDHMEK_01716","MAOBNCNO_04782"
"sucB","","Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex","7","7","1","4","7049","","","","464","1220","1112","POCPNIHP_01900","JKPFCNPL_02208","FENHPGCI_01213","PNIFCKEH_05648","JIDLLDEG_03496","EJNDHMEK_03463","MAOBNCNO_03413"
"ppk","","Polyphosphate kinase","7","7","1","4","5956","","","","1586","2060","1992","POCPNIHP_03644","JKPFCNPL_04003","FENHPGCI_02476","PNIFCKEH_03588","JIDLLDEG_01751","EJNDHMEK_00817","MAOBNCNO_01749"
"glnA","","Glutamine synthetase","7","7","1","4","4998","","","","644","1409","1299","POCPNIHP_05203","JKPFCNPL_00378","FENHPGCI_03447","PNIFCKEH_00605","JIDLLDEG_04808","EJNDHMEK_02765","MAOBNCNO_04697"
"rplA","","Large ribosomal subunit protein uL1","7","7","1","4","2304","","","","380","704","657","POCPNIHP_00294","JKPFCNPL_00299","FENHPGCI_03233","PNIFCKEH_01671","JIDLLDEG_00199","EJNDHMEK_02847","MAOBNCNO_00200"
"envZ","","Sensor histidine kinase EnvZ","7","7","1","4","8772","","","","914","1352","1289","POCPNIHP_00545","JKPFCNPL_00843","FENHPGCI_00246","PNIFCKEH_00800","JIDLLDEG_04964","EJNDHMEK_01792","MAOBNCNO_04852"
"infB","","Translation initiation factor IF-2","7","7","1","4","11305","","","","1646","2690","2536","POCPNIHP_00826","JKPFCNPL_01127","FENHPGCI_00433","PNIFCKEH_00337","JIDLLDEG_04577","EJNDHMEK_01515","MAOBNCNO_04467"
"dnaG_1","","DNA primase","7","7","1","4","4039","","","","1307","1757","1691","POCPNIHP_00900","JKPFCNPL_01201","FENHPGCI_00500","PNIFCKEH_00244","JIDLLDEG_04495","EJNDHMEK_01444","MAOBNCNO_04394"
"tsf","","Elongation factor Ts","7","7","1","4","3791","","","","428","851","790","POCPNIHP_01069","JKPFCNPL_01368","FENHPGCI_02676","PNIFCKEH_00047","JIDLLDEG_04334","EJNDHMEK_01268","MAOBNCNO_04231"
"sucC","","Succinate--CoA ligase [ADP-forming] subunit beta","7","7","1","4","7050","","","","1166","1259","1210","POCPNIHP_01901","JKPFCNPL_02209","FENHPGCI_01214","PNIFCKEH_05647","JIDLLDEG_03495","EJNDHMEK_03464","MAOBNCNO_03412"
"purM","","Phosphoribosylformylglycinamidine cyclo-ligase","7","7","1","4","5937","","","","734","1151","1075","POCPNIHP_03642","JKPFCNPL_04001","FENHPGCI_02471","PNIFCKEH_03591","JIDLLDEG_01753","EJNDHMEK_00815","MAOBNCNO_01751"
"crr","","PTS system glucose-specific EIIA component","7","7","1","4","3025","","","","353","503","481","POCPNIHP_03869","JKPFCNPL_04225","FENHPGCI_02420","PNIFCKEH_03159","JIDLLDEG_01396","EJNDHMEK_01036","MAOBNCNO_01395"
"tktA_2","","Transketolase 1","7","7","1","4","2715","","","","1454","1991","1914","POCPNIHP_04045","JKPFCNPL_04405","FENHPGCI_00688","PNIFCKEH_02867","JIDLLDEG_01186","EJNDHMEK_01208","MAOBNCNO_01176"
"lpxC","","UDP-3-O-acyl-N-acetylglucosamine deacetylase","7","7","1","4","3927","","","","581","932","879","POCPNIHP_04467","JKPFCNPL_04835","FENHPGCI_02784","PNIFCKEH_02208","JIDLLDEG_00626","EJNDHMEK_02335","MAOBNCNO_00630"
"groEL","","Chaperonin GroEL","7","7","1","4","991","","","","857","1655","1539","POCPNIHP_04700","JKPFCNPL_05068","FENHPGCI_03053","PNIFCKEH_01916","JIDLLDEG_00397","EJNDHMEK_02083","MAOBNCNO_00399"
"groES","","Co-chaperonin GroES","7","7","1","4","992","","","","293","533","385","POCPNIHP_04701","JKPFCNPL_05069","FENHPGCI_03054","PNIFCKEH_01914","JIDLLDEG_00396","EJNDHMEK_02082","MAOBNCNO_00398"
"cyoB","","Cytochrome bo(3) ubiquinol oxidase subunit 1","7","7","1","4","7204","","","","686","1991","1804","POCPNIHP_04783","JKPFCNPL_05151","FENHPGCI_01032","PNIFCKEH_06239","JIDLLDEG_03989","EJNDHMEK_02001","MAOBNCNO_03891"
"cyoE","","Protoheme IX farnesyltransferase","7","7","1","4","7316","","","","509","944","841","POCPNIHP_04786","JKPFCNPL_05154","FENHPGCI_01029","PNIFCKEH_06244","JIDLLDEG_03992","EJNDHMEK_01998","MAOBNCNO_03894"
"glnG","","DNA-binding transcriptional regulator NtrC","7","7","1","4","4979","","","","902","1409","1336","POCPNIHP_05201","JKPFCNPL_00380","FENHPGCI_03449","PNIFCKEH_00602","JIDLLDEG_04806","EJNDHMEK_02763","MAOBNCNO_04695"
"spoT","","Bifunctional (p)ppGpp synthase/hydrolase SpoT","7","7","1","4","5009","","","","1322","2123","2002","POCPNIHP_05216","JKPFCNPL_00365","FENHPGCI_03436","PNIFCKEH_00623","JIDLLDEG_04820","EJNDHMEK_02777","MAOBNCNO_04709"
"ilvE","","Branched-chain-amino-acid aminotransferase","7","7","1","4","5189","","","","485","929","865","POCPNIHP_00138","JKPFCNPL_00142","FENHPGCI_03318","PNIFCKEH_01193","JIDLLDEG_05282","EJNDHMEK_02995","MAOBNCNO_05167"
"rplE","","Large ribosomal subunit protein uL5","7","7","1","4","8896","","","","464","539","528","POCPNIHP_00616","JKPFCNPL_00915","FENHPGCI_00312","PNIFCKEH_00713","JIDLLDEG_04893","EJNDHMEK_01715","MAOBNCNO_04781"
"rpsE","","Small ribosomal subunit protein uS5","7","7","1","4","8902","","","","290","500","470","POCPNIHP_00621","JKPFCNPL_00920","FENHPGCI_00317","PNIFCKEH_00707","JIDLLDEG_04888","EJNDHMEK_01710","MAOBNCNO_04776"
"rpsM","","Small ribosomal subunit protein uS13","7","7","1","4","8907","","","","224","356","337","POCPNIHP_00626","JKPFCNPL_00925","FENHPGCI_00322","PNIFCKEH_00702","JIDLLDEG_04883","EJNDHMEK_01705","MAOBNCNO_04771"
"dusB","","tRNA-dihydrouridine synthase B","7","7","1","4","9888","","","","923","980","969","POCPNIHP_00741","JKPFCNPL_01041","FENHPGCI_00356","PNIFCKEH_00448","JIDLLDEG_04671","EJNDHMEK_01600","MAOBNCNO_04561"
"rpoD","","RNA polymerase sigma factor RpoD","7","7","1","4","4038","","","","1745","1844","1827","POCPNIHP_00899","JKPFCNPL_01200","FENHPGCI_00499","PNIFCKEH_00245","JIDLLDEG_04496","EJNDHMEK_01445","MAOBNCNO_04395"
"dksA","","RNA polymerase-binding transcription factor DksA","7","7","1","4","3847","","","","455","542","467","POCPNIHP_01047","JKPFCNPL_01346","FENHPGCI_02704","PNIFCKEH_00083","JIDLLDEG_04356","EJNDHMEK_01291","MAOBNCNO_04253"
"metQ","","D-methionine-binding lipoprotein MetQ","7","7","1","4","3740","","","","380","815","752","POCPNIHP_01095","JKPFCNPL_01394","FENHPGCI_02649","PNIFCKEH_00010","JIDLLDEG_04308","EJNDHMEK_01242","MAOBNCNO_04205"
"glnB","","Nitrogen regulatory protein P-II","7","7","1","4","6450","","","","293","338","331","POCPNIHP_01518","JKPFCNPL_01822","FENHPGCI_02528","PNIFCKEH_06125","JIDLLDEG_03901","EJNDHMEK_03046","MAOBNCNO_03805"
"ndk","","Nucleoside diphosphate kinase","7","7","1","4","7379","","","","377","431","423","POCPNIHP_01541","JKPFCNPL_01845","FENHPGCI_02509","PNIFCKEH_06095","JIDLLDEG_03874","EJNDHMEK_03022","MAOBNCNO_03780"
"sucD","","Succinate--CoA ligase [ADP-forming] subunit alpha","7","7","1","4","7069","","","","773","875","860","POCPNIHP_01902","JKPFCNPL_02210","FENHPGCI_01215","PNIFCKEH_05646","JIDLLDEG_03494","EJNDHMEK_03465","MAOBNCNO_03411"
"recA","","Protein RecA","7","7","1","4","6878","","","","959","1067","1051","POCPNIHP_01966","JKPFCNPL_02321","FENHPGCI_00865","PNIFCKEH_05563","JIDLLDEG_03435","EJNDHMEK_04901","MAOBNCNO_03344"
"ppsR","","Phosphoenolpyruvate synthase regulatory protein","7","7","1","4","8082","","","","557","833","789","POCPNIHP_03031","JKPFCNPL_03391","FENHPGCI_01673","PNIFCKEH_04323","JIDLLDEG_02426","EJNDHMEK_00198","MAOBNCNO_02338"
"lrp","","Leucine-responsive regulatory protein","7","7","1","4","10443","","","","389","533","506","POCPNIHP_03352","JKPFCNPL_03712","FENHPGCI_01363","PNIFCKEH_03988","JIDLLDEG_02068","EJNDHMEK_00496","MAOBNCNO_02064"
"rcsB_3","","Transcriptional regulatory protein RcsB","7","7","1","4","6134","","","","569","650","638","POCPNIHP_03667","JKPFCNPL_04026","FENHPGCI_02284","PNIFCKEH_03561","JIDLLDEG_01729","EJNDHMEK_00838","MAOBNCNO_01727"
"nuoF","","NADH-quinone oxidoreductase subunit F","7","7","1","4","6219","","","","1313","1346","1340","POCPNIHP_03705","JKPFCNPL_04063","FENHPGCI_02309","PNIFCKEH_03510","JIDLLDEG_01693","EJNDHMEK_00878","MAOBNCNO_01691"
"ypeA","","Acetyltransferase YpeA","7","7","1","4","3015","","","","332","425","411","POCPNIHP_03847","JKPFCNPL_04204","FENHPGCI_02430","PNIFCKEH_03186","JIDLLDEG_01416","EJNDHMEK_01014","MAOBNCNO_01415"
"ptsH","","Phosphocarrier protein HPr","7","7","1","4","2913","","","","257","437","282","POCPNIHP_03867","JKPFCNPL_04223","FENHPGCI_02418","PNIFCKEH_03163","JIDLLDEG_01398","EJNDHMEK_01034","MAOBNCNO_01397"
"pyrG","","CTP synthase","7","7","1","4","3094","","","","1637","1682","1643","POCPNIHP_03921","JKPFCNPL_04277","FENHPGCI_00802","PNIFCKEH_03093","JIDLLDEG_01347","EJNDHMEK_01088","MAOBNCNO_01345"
"ftsA","","Cell division protein FtsA","7","7","1","4","3491","","","","923","1256","1208","POCPNIHP_04469","JKPFCNPL_04837","FENHPGCI_02786","PNIFCKEH_02205","JIDLLDEG_00624","EJNDHMEK_02333","MAOBNCNO_00628"
"radA","","DNA repair protein RadA","7","7","1","4","9688","","","","1124","1382","1345","POCPNIHP_04559","JKPFCNPL_04927","FENHPGCI_02863","PNIFCKEH_02085","JIDLLDEG_00536","EJNDHMEK_02238","MAOBNCNO_00539"
"argG","","Argininosuccinate synthase","7","7","1","4","5143","","","","1142","1214","1203","POCPNIHP_05086","JKPFCNPL_00495","FENHPGCI_03338","PNIFCKEH_06574","JIDLLDEG_04262","EJNDHMEK_02649","MAOBNCNO_04159"
"atpD","","ATP synthase subunit beta","7","7","1","4","10070","","","","104","1382","1199","POCPNIHP_05417","JKPFCNPL_05503","FENHPGCI_00021","PNIFCKEH_01292","JIDLLDEG_05357","EJNDHMEK_03971","MAOBNCNO_05243"
"rpmH","","Large ribosomal subunit protein bL34","7","7","1","4","10099","","","","140","140","140","POCPNIHP_05435","JKPFCNPL_05526","FENHPGCI_00043","PNIFCKEH_01424","JIDLLDEG_05471","EJNDHMEK_03987","MAOBNCNO_05355"
"dnaA","","Chromosomal replication initiator protein DnaA","7","7","1","4","10117","","","","1391","1391","1391","POCPNIHP_00001","JKPFCNPL_00001","FENHPGCI_00044","PNIFCKEH_01426","JIDLLDEG_00001","EJNDHMEK_03989","MAOBNCNO_00001"
"glyQ","","Glycine--tRNA ligase alpha subunit","7","7","1","4","4866","","","","911","953","917","POCPNIHP_00066","JKPFCNPL_00066","FENHPGCI_00084","PNIFCKEH_01476","JIDLLDEG_00041","EJNDHMEK_04817","MAOBNCNO_00042"
"nusG","","Transcription termination/antitermination protein NusG","7","7","1","4","2300","","","","545","545","545","POCPNIHP_00292","JKPFCNPL_00297","FENHPGCI_03235","PNIFCKEH_01668","JIDLLDEG_00197","EJNDHMEK_02849","MAOBNCNO_00198"
"ompR","","DNA-binding dual transcriptional regulator OmpR","7","7","1","4","8771","","","","719","851","737","POCPNIHP_00544","JKPFCNPL_00842","FENHPGCI_00245","PNIFCKEH_00802","JIDLLDEG_04965","EJNDHMEK_01793","MAOBNCNO_04853"
"rpsL","","Small ribosomal subunit protein uS12","7","7","1","4","8876","","","","374","374","374","POCPNIHP_00597","JKPFCNPL_00896","FENHPGCI_00295","PNIFCKEH_00733","JIDLLDEG_04912","EJNDHMEK_01734","MAOBNCNO_04800"
"rplC","","Large ribosomal subunit protein uL3","7","7","1","4","8883","","","","629","629","629","POCPNIHP_00604","JKPFCNPL_00903","FENHPGCI_00300","PNIFCKEH_00725","JIDLLDEG_04905","EJNDHMEK_01727","MAOBNCNO_04793"
"rplD","","Large ribosomal subunit protein uL4","7","7","1","4","8884","","","","605","605","605","POCPNIHP_00605","JKPFCNPL_00904","FENHPGCI_00301","PNIFCKEH_00724","JIDLLDEG_04904","EJNDHMEK_01726","MAOBNCNO_04792"
"rpsS","","Small ribosomal subunit protein uS19","7","7","1","4","8887","","","","278","278","278","POCPNIHP_00608","JKPFCNPL_00907","FENHPGCI_00304","PNIFCKEH_00721","JIDLLDEG_04901","EJNDHMEK_01723","MAOBNCNO_04789"
"rplP","","Large ribosomal subunit protein uL16","7","7","1","4","8890","","","","377","410","405","POCPNIHP_00611","JKPFCNPL_00910","FENHPGCI_00307","PNIFCKEH_00718","JIDLLDEG_04898","EJNDHMEK_01720","MAOBNCNO_04786"
"rpsH","","Small ribosomal subunit protein uS8","7","7","1","4","8898","","","","392","392","392","POCPNIHP_00618","JKPFCNPL_00917","FENHPGCI_00314","PNIFCKEH_00711","JIDLLDEG_04891","EJNDHMEK_01713","MAOBNCNO_04779"
"rplF","","Large ribosomal subunit protein uL6","7","7","1","4","8899","","","","533","533","533","POCPNIHP_00619","JKPFCNPL_00918","FENHPGCI_00315","PNIFCKEH_00710","JIDLLDEG_04890","EJNDHMEK_01712","MAOBNCNO_04778"
"rplO","","Large ribosomal subunit protein uL15","7","7","1","4","8904","","","","434","434","434","POCPNIHP_00623","JKPFCNPL_00922","FENHPGCI_00319","PNIFCKEH_00705","JIDLLDEG_04886","EJNDHMEK_01708","MAOBNCNO_04774"
"rpmJ","","Large ribosomal subunit protein bL36A","7","7","1","4","8906","","","","116","116","116","POCPNIHP_00625","JKPFCNPL_00924","FENHPGCI_00321","PNIFCKEH_00703","JIDLLDEG_04884","EJNDHMEK_01706","MAOBNCNO_04772"
"rpsK","","Small ribosomal subunit protein uS11","7","7","1","4","8908","","","","389","389","389","POCPNIHP_00627","JKPFCNPL_00926","FENHPGCI_00323","PNIFCKEH_00701","JIDLLDEG_04882","EJNDHMEK_01704","MAOBNCNO_04770"
"rpoA","","DNA-directed RNA polymerase subunit alpha","7","7","1","4","8910","","","","908","989","977","POCPNIHP_00629","JKPFCNPL_00928","FENHPGCI_00325","PNIFCKEH_00699","JIDLLDEG_04880","EJNDHMEK_01702","MAOBNCNO_04768"
"rplQ","","Large ribosomal subunit protein bL17","7","7","1","4","8911","","","","386","386","386","POCPNIHP_00630","JKPFCNPL_00929","FENHPGCI_00326","PNIFCKEH_00698","JIDLLDEG_04879","EJNDHMEK_01701","MAOBNCNO_04767"
"rpsF","","Small ribosomal subunit protein bS6","7","7","1","4","9840","","","","392","395","392","POCPNIHP_00698","JKPFCNPL_00998","FENHPGCI_03022","PNIFCKEH_00499","JIDLLDEG_04717","EJNDHMEK_01649","MAOBNCNO_04607"
"rpsR","","Small ribosomal subunit protein bS18","7","7","1","4","9853","","","","227","242","229","POCPNIHP_00700","JKPFCNPL_01000","FENHPGCI_03020","PNIFCKEH_00497","JIDLLDEG_04715","EJNDHMEK_01647","MAOBNCNO_04605"
"fis","","DNA-binding protein Fis","7","7","1","4","9889","","","","296","296","296","POCPNIHP_00740","JKPFCNPL_01040","FENHPGCI_00355","PNIFCKEH_00449","JIDLLDEG_04672","EJNDHMEK_01601","MAOBNCNO_04562"
"rplM","","Large ribosomal subunit protein uL13","7","7","1","4","11227","","","","428","428","428","POCPNIHP_00776","JKPFCNPL_01076","FENHPGCI_00386","PNIFCKEH_00408","JIDLLDEG_04636","EJNDHMEK_01564","MAOBNCNO_04526"
"rpsI","","Small ribosomal subunit protein uS9","7","7","1","4","11228","","","","392","392","392","POCPNIHP_00777","JKPFCNPL_01077","FENHPGCI_00387","PNIFCKEH_00407","JIDLLDEG_04635","EJNDHMEK_01563","MAOBNCNO_04525"
"sspA","","Stringent starvation protein A","7","7","1","4","11229","","","","641","641","641","POCPNIHP_00778","JKPFCNPL_01078","FENHPGCI_00388","PNIFCKEH_00406","JIDLLDEG_04634","EJNDHMEK_01562","MAOBNCNO_04524"
"rplU","","Large ribosomal subunit protein bL21","7","7","1","4","11257","","","","311","311","311","POCPNIHP_00806","JKPFCNPL_01107","FENHPGCI_00415","PNIFCKEH_00370","JIDLLDEG_04606","EJNDHMEK_01533","MAOBNCNO_04496"
"rpmA","","Large ribosomal subunit protein bL27","7","7","1","4","11266","","","","257","257","257","POCPNIHP_00807","JKPFCNPL_01108","FENHPGCI_00416","PNIFCKEH_00369","JIDLLDEG_04605","EJNDHMEK_01532","MAOBNCNO_04495"
"ftsH","","ATP-dependent zinc metalloprotease FtsH","7","7","1","4","11291","","","","1940","1943","1940","POCPNIHP_00815","JKPFCNPL_01116","FENHPGCI_00425","PNIFCKEH_00349","JIDLLDEG_04587","EJNDHMEK_01523","MAOBNCNO_04477"
"pepA","","Cytosol aminopeptidase","7","7","1","4","11461","","","","1511","1511","1511","POCPNIHP_00869","JKPFCNPL_01169","FENHPGCI_00461","PNIFCKEH_00277","JIDLLDEG_04531","EJNDHMEK_01472","MAOBNCNO_04422"
"pyrH","","Uridylate kinase","7","7","1","4","3778","","","","725","725","725","POCPNIHP_01070","JKPFCNPL_01369","FENHPGCI_02675","PNIFCKEH_00046","JIDLLDEG_04333","EJNDHMEK_01267","MAOBNCNO_04230"
"fabZ","","3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ","7","7","1","4","3765","","","","455","455","455","POCPNIHP_01079","JKPFCNPL_01378","FENHPGCI_02666","PNIFCKEH_00033","JIDLLDEG_04324","EJNDHMEK_01258","MAOBNCNO_04221"
"accA","","Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha","7","7","1","4","3751","","","","959","959","959","POCPNIHP_01084","JKPFCNPL_01383","FENHPGCI_02661","PNIFCKEH_00022","JIDLLDEG_04319","EJNDHMEK_01253","MAOBNCNO_04216"
"glnK","","Nitrogen regulatory protein GlnK","7","7","1","4","6577","","","","338","338","338","POCPNIHP_01456","JKPFCNPL_01759","FENHPGCI_01052","PNIFCKEH_06206","JIDLLDEG_03967","EJNDHMEK_03109","MAOBNCNO_03870"
"group_3644","","hypothetical protein","7","7","1","4","6981","","","","263","263","263","POCPNIHP_01836","JKPFCNPL_02144","FENHPGCI_01154","PNIFCKEH_05732","JIDLLDEG_03559","EJNDHMEK_03394","MAOBNCNO_03477"
"gpmA_2","","2,3-bisphosphoglycerate-dependent phosphoglycerate mutase","7","7","1","4","7124","","","","752","752","752","POCPNIHP_01927","JKPFCNPL_02235","FENHPGCI_01236","PNIFCKEH_05608","JIDLLDEG_03463","EJNDHMEK_03487","MAOBNCNO_03380"
"ffh","","Signal recognition particle protein","7","7","1","4","6822","","","","1361","1361","1361","POCPNIHP_01980","JKPFCNPL_02335","FENHPGCI_00879","PNIFCKEH_05548","JIDLLDEG_03421","EJNDHMEK_04887","MAOBNCNO_03330"
"minD","","Septum site-determining protein MinD","7","7","1","4","12047","","","","812","812","812","POCPNIHP_02530","JKPFCNPL_02937","FENHPGCI_01974","PNIFCKEH_04880","JIDLLDEG_02877","EJNDHMEK_04025","MAOBNCNO_02791"
"yeaG","","Serine/threonine kinase YeaG","7","7","1","4","12093","","","","1934","2114","2088","POCPNIHP_02553","JKPFCNPL_02960","FENHPGCI_01957","PNIFCKEH_04850","JIDLLDEG_02851","EJNDHMEK_04049","MAOBNCNO_02766"
