strain,gene,start,end,type
BuffGH_2022,JKPFCNPL_00145,134641,135522,accessory
BuffGH_2022,JKPFCNPL_00146,135688,137166,accessory
BuffGH_2022,JKPFCNPL_00147,137356,137517,accessory
BuffGH_2022,JKPFCNPL_00148,137495,137851,accessory
BuffGH_2022,JKPFCNPL_00149,137888,138091,accessory
BuffGH_2022,JKPFCNPL_00150,138048,138593,accessory
BuffGH_2022,JKPFCNPL_00151,138623,139363,accessory
BuffGH_2022,JKPFCNPL_00152,139704,140252,accessory
BuffGH_2022,JKPFCNPL_00153,140270,140707,accessory
BuffGH_2022,JKPFCNPL_00154,141555,143081,accessory
BuffGH_2022,JKPFCNPL_00155,143490,144386,accessory
BuffGH_2022,JKPFCNPL_00156,144379,145569,accessory
BuffGH_2022,JKPFCNPL_00157,145951,148050,accessory
BuffGH_2022,JKPFCNPL_00158,148273,149553,accessory
BuffGH_2022,JKPFCNPL_00159,149791,151284,accessory
BuffGH_2022,JKPFCNPL_00160,151238,151831,accessory
BuffGH_2022,JKPFCNPL_00161,151818,152000,accessory
BuffGH_2022,JKPFCNPL_00162,152224,152997,accessory
BuffGH_2022,JKPFCNPL_00163,153054,153656,accessory
BuffGH_2022,JKPFCNPL_00164,153691,154035,accessory
BuffGH_2022,JKPFCNPL_00165,154063,154377,accessory
BuffGH_2022,JKPFCNPL_00166,154428,155276,accessory
BuffGH_2022,JKPFCNPL_00167,155743,156201,accessory
BuffGH_2022,JKPFCNPL_00168,156516,156713,accessory
BuffGH_2022,JKPFCNPL_00169,156710,157078,accessory
BuffGH_2022,JKPFCNPL_00170,157335,157859,accessory
BuffGH_2022,JKPFCNPL_00171,158090,158194,accessory
BuffGH_2022,JKPFCNPL_00172,158380,158694,accessory
BuffGH_2022,JKPFCNPL_00173,158691,159503,accessory
BuffGH_2022,JKPFCNPL_00174,159689,160003,accessory
BuffGH_2022,JKPFCNPL_00175,160160,161098,accessory
BuffGH_2022,JKPFCNPL_00176,161627,162529,accessory
BuffGH_2022,JKPFCNPL_00177,162558,162902,accessory
BuffGH_2022,JKPFCNPL_00178,162911,163252,accessory
BuffGH_2022,JKPFCNPL_00179,163862,164593,accessory
BuffGH_2022,JKPFCNPL_00180,165335,165652,accessory
BuffGH_2022,JKPFCNPL_00181,165683,166399,accessory
BuffGH_2022,JKPFCNPL_00182,167320,168519,accessory
BuffGH_2022,JKPFCNPL_00183,168528,168716,accessory
BuffGH_2022,JKPFCNPL_00184,168820,169095,accessory
BuffGH_2022,JKPFCNPL_00185,169217,169639,accessory
BuffGH_2022,JKPFCNPL_00186,169620,170330,accessory
BuffGH_2022,JKPFCNPL_00187,170317,170871,accessory
BuffGH_2022,JKPFCNPL_00188,170868,171638,accessory
BuffGH_2022,JKPFCNPL_00189,171638,171961,accessory
BuffGH_2022,JKPFCNPL_00190,172016,172288,accessory
BuffGH_2022,JKPFCNPL_00191,172292,173545,accessory
BuffGH_2022,JKPFCNPL_00192,173835,174713,accessory
BuffGH_2022,JKPFCNPL_00193,174706,176478,accessory
BuffGH_2022,JKPFCNPL_00194,176485,177606,accessory
BuffGH_2022,JKPFCNPL_00195,177637,179691,accessory
BuffGH_2022,JKPFCNPL_00196,179701,180108,accessory
BuffGH_2022,JKPFCNPL_00197,180127,181422,accessory
BuffGH_2022,JKPFCNPL_00198,181406,181867,accessory
BuffGH_2022,JKPFCNPL_00199,181848,182756,accessory
BuffGH_2022,JKPFCNPL_00200,182753,183679,accessory
BuffGH_2022,JKPFCNPL_00201,183669,184340,accessory
BuffGH_2022,JKPFCNPL_00202,184337,184591,accessory
BuffGH_2022,JKPFCNPL_00203,184604,185368,accessory
BuffGH_2022,JKPFCNPL_00204,185378,186469,accessory
BuffGH_2022,JKPFCNPL_00205,186604,187140,accessory
BuffGH_2022,JKPFCNPL_00206,187155,189026,accessory
BuffGH_2022,JKPFCNPL_00207,189061,190266,accessory
BuffGH_2022,JKPFCNPL_00208,190337,191515,accessory
BuffGH_2022,JKPFCNPL_00209,191714,194947,accessory
BuffGH_2022,JKPFCNPL_00210,195006,195275,accessory
BuffGH_2022,JKPFCNPL_00211,195508,196548,accessory
BuffGH_2022,JKPFCNPL_00212,196863,197414,accessory
BuffGH_2022,JKPFCNPL_00213,197455,198777,accessory
BuffGH_2022,JKPFCNPL_00214,199026,200354,accessory
BuffGH_2022,JKPFCNPL_00215,200415,200531,accessory
BuffGH_2022,JKPFCNPL_00216,200561,200716,accessory
BuffGH_2022,JKPFCNPL_00217,200810,201055,accessory
BuffGH_2022,JKPFCNPL_00218,201085,201261,accessory
BuffGH_2022,JKPFCNPL_00219,202338,203012,accessory
BuffGH_2022,JKPFCNPL_00220,203503,203640,accessory
BuffGH_2022,JKPFCNPL_00221,203782,204234,accessory
BuffGH_2022,JKPFCNPL_00222,204490,205050,accessory
BuffGH_2022,JKPFCNPL_00223,205279,205434,accessory
BuffGH_2022,JKPFCNPL_00224,205606,205941,accessory
BuffGH_2022,JKPFCNPL_00225,206244,206696,accessory
BuffGH_2022,JKPFCNPL_00226,206857,207072,accessory
BuffGH_2022,JKPFCNPL_00227,207185,208225,accessory
BuffGH_2022,JKPFCNPL_00228,208260,208916,accessory
BuffGH_2022,JKPFCNPL_00229,209097,210137,accessory
BuffGH_2022,JKPFCNPL_00230,210768,211409,accessory
BuffGH_2022,JKPFCNPL_00231,211452,212213,accessory
BuffGH_2022,JKPFCNPL_00232,212227,213366,accessory
BuffGH_2022,JKPFCNPL_00233,213389,214993,accessory
BuffGH_2022,JKPFCNPL_00234,215317,216330,accessory
BuffGH_2022,JKPFCNPL_00235,216429,216533,accessory
BuffGH_2022,JKPFCNPL_00236,217943,218581,accessory
BuffGH_2022,JKPFCNPL_00237,218646,219137,accessory
BuffGH_2022,JKPFCNPL_00238,219147,220631,accessory
BuffGH_2022,JKPFCNPL_00239,220631,221242,accessory
BuffGH_2022,JKPFCNPL_00240,221236,222576,accessory
BuffGH_2022,JKPFCNPL_00241,222599,223600,accessory
BuffGH_2022,JKPFCNPL_00242,223606,224667,accessory
BuffGH_2022,JKPFCNPL_00243,224745,225770,accessory
BuffGH_2022,JKPFCNPL_00244,225770,227647,accessory
BuffGH_2022,JKPFCNPL_00245,228256,230946,accessory
BuffGH_2022,JKPFCNPL_00246,231021,231572,accessory
BuffGH_2022,JKPFCNPL_00247,231666,232478,accessory
BuffGH_2022,JKPFCNPL_00248,232585,235221,accessory
BuffGH_2022,JKPFCNPL_00249,235209,235802,accessory
BuffGH_2022,JKPFCNPL_00250,235927,236460,accessory
BuffGH_2022,JKPFCNPL_00251,236478,237977,accessory
BuffGH_2022,JKPFCNPL_00252,238129,238614,accessory
BuffGH_2022,JKPFCNPL_00253,238745,239293,accessory
BuffGH_2022,JKPFCNPL_00254,239297,240643,accessory
BuffGH_2022,JKPFCNPL_00255,240643,242010,accessory
BuffGH_2022,JKPFCNPL_00256,242022,245831,accessory
BuffGH_2022,JKPFCNPL_00257,245883,246527,accessory
BuffGH_2022,JKPFCNPL_00258,246585,248948,accessory
BuffGH_2022,JKPFCNPL_00259,249072,249341,accessory
BuffGH_2022,JKPFCNPL_00260,249404,250183,accessory
BuffGH_2022,JKPFCNPL_00261,250202,250999,accessory
BuffGH_2022,JKPFCNPL_00262,251011,251502,accessory
BuffGH_2022,JKPFCNPL_00263,251762,252802,accessory
BuffGH_2022,JKPFCNPL_00264,252947,253090,accessory
BuffGH_2022,JKPFCNPL_00265,253410,253655,accessory
BuffGH_2022,JKPFCNPL_00266,254136,254285,accessory
BuffGH_2022,JKPFCNPL_00267,254588,254833,accessory
BuffGH_2022,JKPFCNPL_00268,255062,255205,accessory
BuffGH_2022,JKPFCNPL_00269,255536,257221,accessory
BuffGH_2022,JKPFCNPL_00270,257240,259288,accessory
BuffGH_2022,JKPFCNPL_00271,259299,259886,accessory
BuffGH_2022,JKPFCNPL_00272,260234,262906,accessory
BuffGH_2022,JKPFCNPL_00273,263033,263266,accessory
BuffGH_2022,JKPFCNPL_00274,263338,264462,accessory
BuffGH_2022,JKPFCNPL_00275,264490,265329,accessory
BuffGH_2022,JKPFCNPL_00276,265319,266227,accessory
BuffGH_2022,JKPFCNPL_00277,266237,267487,accessory
BuffGH_2022,JKPFCNPL_00278,267698,268639,accessory
BuffGH_2022,JKPFCNPL_00279,268636,269661,accessory
BuffGH_2022,JKPFCNPL_00280,269855,270631,accessory
BuffGH_2022,JKPFCNPL_00281,270708,271355,accessory
BuffGH_2022,JKPFCNPL_00282,271975,272322,accessory
BuffGH_2022,JKPFCNPL_00283,272496,272897,accessory
BuffGH_2022,JKPFCNPL_00284,272902,273279,accessory
BuffGH_2022,JKPFCNPL_00285,273367,274491,accessory
BuffGH_2022,JKPFCNPL_00286,275011,275343,accessory
BuffGH_2022,JKPFCNPL_00287,275475,275981,accessory
BuffGH_2022,JKPFCNPL_00288,276216,277133,accessory
BuffGH_2022,JKPFCNPL_00289,277149,278096,accessory
BuffGH_2022,JKPFCNPL_00290,278829,279170,accessory
BuffGH_2022,JKPFCNPL_00295,279795,280979,accessory
BuffGH_2022,JKPFCNPL_00296,281332,281715,accessory
BuffGH_2022,JKPFCNPL_00297,281717,282262,core
BuffGH_2022,JKPFCNPL_00298,282447,282875,core
BuffGH_2022,JKPFCNPL_00299,282879,283583,core
BuffGH_2022,JKPFCNPL_00300,284010,284507,accessory
BuffGH_2022,JKPFCNPL_00301,284574,284939,accessory
BuffGH_2022,JKPFCNPL_00302,285280,289308,accessory
BuffGH_2022,JKPFCNPL_00303,289384,293604,accessory
BuffGH_2022,JKPFCNPL_00304,294187,294339,accessory
BuffGH_2022,JKPFCNPL_00305,294374,295021,accessory
BuffGH_2022,JKPFCNPL_00306,295106,295504,accessory
BuffGH_2022,JKPFCNPL_00307,295501,296277,accessory
BuffGH_2022,JKPFCNPL_00308,296280,296519,accessory
BuffGH_2022,JKPFCNPL_00309,296464,297225,accessory
BuffGH_2022,JKPFCNPL_00310,297215,297862,accessory
BuffGH_2022,JKPFCNPL_00311,297859,299793,accessory
BuffGH_2022,JKPFCNPL_00312,300105,300614,accessory
BuffGH_2022,JKPFCNPL_00313,300700,301473,accessory
BuffGH_2022,JKPFCNPL_00314,301512,302579,accessory
BuffGH_2022,JKPFCNPL_00315,302581,303249,accessory
BuffGH_2022,JKPFCNPL_00316,303317,303907,accessory
BuffGH_2022,JKPFCNPL_00317,304096,304368,core
BuffGH_2022,JKPFCNPL_00318,304536,305258,accessory
BuffGH_2022,JKPFCNPL_00319,305480,306763,accessory
BuffGH_2022,JKPFCNPL_00320,306775,308364,accessory
BuffGH_2022,JKPFCNPL_00325,314206,314352,accessory
BuffGH_2022,JKPFCNPL_00326,315220,316149,accessory
BuffGH_2022,JKPFCNPL_00327,316759,317037,accessory
BuffGH_2022,JKPFCNPL_00328,317577,318098,accessory
BuffGH_2022,JKPFCNPL_00329,318195,319820,accessory
BuffGH_2022,JKPFCNPL_00330,319852,320769,accessory
BuffGH_2022,JKPFCNPL_00331,321418,322773,accessory
BuffGH_2022,JKPFCNPL_00332,323660,325309,accessory
BuffGH_2022,JKPFCNPL_00333,325865,326113,accessory
BuffGH_2022,JKPFCNPL_00334,326193,326840,accessory
BuffGH_2022,JKPFCNPL_00335,326837,327592,accessory
BuffGH_2022,JKPFCNPL_00336,327592,329688,accessory
BuffGH_2022,JKPFCNPL_00337,329842,330240,accessory
BuffGH_2022,JKPFCNPL_00338,330382,330909,accessory
BuffGH_2022,JKPFCNPL_00339,330911,331795,accessory
BuffGH_2022,JKPFCNPL_00340,331969,334389,accessory
BuffGH_2022,JKPFCNPL_00341,334519,334887,accessory
BuffGH_2022,JKPFCNPL_00342,334994,335602,accessory
BuffGH_2022,JKPFCNPL_00343,335818,336072,accessory
BuffGH_2022,JKPFCNPL_00344,336335,336433,accessory
BuffGH_2022,JKPFCNPL_00345,336662,337177,accessory
BuffGH_2022,JKPFCNPL_00346,337397,337579,accessory
BuffGH_2022,JKPFCNPL_00347,337746,338213,accessory
BuffGH_2022,JKPFCNPL_00348,338753,339481,accessory
BuffGH_2022,JKPFCNPL_00349,339522,339980,accessory
BuffGH_2022,JKPFCNPL_00350,340153,340359,accessory
BuffGH_2022,JKPFCNPL_00351,340620,341270,accessory
BuffGH_2022,JKPFCNPL_00352,341233,341829,accessory
BuffGH_2022,JKPFCNPL_00353,341994,342350,accessory
BuffGH_2022,JKPFCNPL_00354,342814,343080,accessory
BuffGH_2022,JKPFCNPL_00355,343639,343914,accessory
BuffGH_2022,JKPFCNPL_00356,344025,344276,accessory
BuffGH_2022,JKPFCNPL_00357,344761,344985,accessory
BuffGH_2022,JKPFCNPL_00358,345035,345385,accessory
BuffGH_2022,JKPFCNPL_00359,345375,346073,accessory
BuffGH_2022,JKPFCNPL_00360,346076,348055,accessory
BuffGH_2022,JKPFCNPL_00361,348252,348584,accessory
BuffGH_2022,JKPFCNPL_00362,348827,350518,accessory
BuffGH_2022,JKPFCNPL_00363,350768,351391,accessory
BuffGH_2022,JKPFCNPL_00364,351445,351720,core
BuffGH_2022,JKPFCNPL_00365,351743,353857,core
BuffGH_2022,JKPFCNPL_00366,353861,354559,accessory
BuffGH_2022,JKPFCNPL_00367,354556,356637,accessory
BuffGH_2022,JKPFCNPL_00368,356810,358183,accessory
BuffGH_2022,JKPFCNPL_00369,358149,358265,accessory
BuffGH_2022,JKPFCNPL_00370,358303,359985,accessory
BuffGH_2022,JKPFCNPL_00371,360024,360890,accessory
BuffGH_2022,JKPFCNPL_00372,360903,361841,accessory
BuffGH_2022,JKPFCNPL_00373,361898,362335,accessory
BuffGH_2022,JKPFCNPL_00374,362332,363207,accessory
BuffGH_2022,JKPFCNPL_00375,363207,363803,accessory
BuffGH_2022,JKPFCNPL_00376,363956,365779,accessory
BuffGH_2022,JKPFCNPL_00377,365962,367284,accessory
BuffGH_2022,JKPFCNPL_00378,367647,369056,core
BuffGH_2022,JKPFCNPL_00379,369243,370292,accessory
BuffGH_2022,JKPFCNPL_00380,370300,371709,core
BuffGH_2022,JKPFCNPL_00381,371810,371923,accessory
BuffGH_2022,JKPFCNPL_00382,372273,372680,accessory
BuffGH_2022,JKPFCNPL_00383,372604,374232,accessory
BuffGH_2022,JKPFCNPL_00384,374294,374452,accessory
BuffGH_2022,JKPFCNPL_00385,374456,375823,accessory
BuffGH_2022,JKPFCNPL_00386,376075,376596,accessory
BuffGH_2022,JKPFCNPL_00387,377003,377131,accessory
BuffGH_2022,JKPFCNPL_00388,377393,377905,accessory
BuffGH_2022,JKPFCNPL_00389,377957,378316,accessory
BuffGH_2022,JKPFCNPL_00390,378351,378476,accessory
BuffGH_2022,JKPFCNPL_00391,378529,378765,accessory
BuffGH_2022,JKPFCNPL_00392,378966,379109,accessory
BuffGH_2022,JKPFCNPL_00393,379185,381749,accessory
BuffGH_2022,JKPFCNPL_00394,381730,382326,accessory
BuffGH_2022,JKPFCNPL_00395,382420,382689,accessory
BuffGH_2022,JKPFCNPL_00396,382957,383088,accessory
BuffGH_2022,JKPFCNPL_00397,383388,383882,accessory
BuffGH_2022,JKPFCNPL_00398,384010,384219,accessory
BuffGH_2022,JKPFCNPL_00399,384349,384498,accessory
BuffGH_2022,JKPFCNPL_00400,384532,384795,accessory
BuffGH_2022,JKPFCNPL_00401,384828,385652,accessory
BuffGH_2022,JKPFCNPL_00402,385950,386231,accessory
BuffGH_2022,JKPFCNPL_00403,386583,387062,accessory
BuffGH_2022,JKPFCNPL_00404,387062,387874,accessory
BuffGH_2022,JKPFCNPL_00405,388196,388348,accessory
BuffGH_2022,JKPFCNPL_00406,388660,389523,accessory
BuffGH_2022,JKPFCNPL_00407,389958,391673,accessory
BuffGH_2022,JKPFCNPL_00408,391670,392677,accessory
BuffGH_2022,JKPFCNPL_00409,392658,393569,accessory
BuffGH_2022,JKPFCNPL_00410,393562,394686,accessory
BuffGH_2022,JKPFCNPL_00411,394821,395063,accessory
BuffGH_2022,JKPFCNPL_00412,395120,395836,accessory
BuffGH_2022,JKPFCNPL_00413,395890,396531,accessory
BuffGH_2022,JKPFCNPL_00414,396562,397158,accessory
BuffGH_2022,JKPFCNPL_00415,397276,397734,accessory
BuffGH_2022,JKPFCNPL_00416,397712,398926,accessory
BuffGH_2022,JKPFCNPL_00417,399109,400329,accessory
BuffGH_2022,JKPFCNPL_00418,400363,401070,accessory
BuffGH_2022,JKPFCNPL_00419,401194,401877,accessory
BuffGH_2022,JKPFCNPL_00420,401731,402045,accessory
BuffGH_2022,JKPFCNPL_00421,402137,402373,core
BuffGH_2022,JKPFCNPL_00422,402390,402557,core
BuffGH_2022,JKPFCNPL_00423,402635,403444,accessory
BuffGH_2022,JKPFCNPL_00424,403464,403940,accessory
BuffGH_2022,JKPFCNPL_00425,403937,404722,accessory
BuffGH_2022,JKPFCNPL_00426,404723,405997,accessory
BuffGH_2022,JKPFCNPL_00427,406100,407233,accessory
BuffGH_2022,JKPFCNPL_00428,407226,408317,accessory
BuffGH_2022,JKPFCNPL_00429,408645,409724,accessory
BuffGH_2022,JKPFCNPL_00430,409925,411142,accessory
BuffGH_2022,JKPFCNPL_00431,411346,411756,accessory
BuffGH_2022,JKPFCNPL_00432,411787,412323,accessory
BuffGH_2022,JKPFCNPL_00433,412366,413283,accessory
BuffGH_2022,JKPFCNPL_00434,413290,414264,accessory
BuffGH_2022,JKPFCNPL_00435,414252,415313,accessory
BuffGH_2022,JKPFCNPL_00436,415329,416261,accessory
BuffGH_2022,JKPFCNPL_00437,416382,417293,accessory
BuffGH_2022,JKPFCNPL_00438,417346,417663,accessory
BuffGH_2022,JKPFCNPL_00439,417752,418135,accessory
BuffGH_2022,JKPFCNPL_00440,418230,418520,accessory
BuffGH_2022,JKPFCNPL_00441,418572,419462,accessory
BuffGH_2022,JKPFCNPL_00442,419510,420808,accessory
BuffGH_2022,JKPFCNPL_00443,421130,421561,accessory
BuffGH_2022,JKPFCNPL_00444,421580,421831,accessory
BuffGH_2022,JKPFCNPL_00445,421874,422341,accessory
BuffGH_2022,JKPFCNPL_00446,422341,423360,accessory
BuffGH_2022,JKPFCNPL_00447,423426,424247,accessory
BuffGH_2022,JKPFCNPL_00448,424244,424720,accessory
BuffGH_2022,JKPFCNPL_00449,424763,426139,accessory
BuffGH_2022,JKPFCNPL_00450,426136,426831,accessory
BuffGH_2022,JKPFCNPL_00451,426983,427483,accessory
BuffGH_2022,JKPFCNPL_00452,427811,428704,accessory
BuffGH_2022,JKPFCNPL_00453,428917,429879,accessory
BuffGH_2022,JKPFCNPL_00454,430033,430470,accessory
BuffGH_2022,JKPFCNPL_00455,430657,431649,accessory
BuffGH_2022,JKPFCNPL_00456,431751,432266,accessory
BuffGH_2022,JKPFCNPL_00457,432263,432595,accessory
BuffGH_2022,JKPFCNPL_00458,432737,433495,accessory
BuffGH_2022,JKPFCNPL_00459,433490,434503,accessory
BuffGH_2022,JKPFCNPL_00460,434563,435603,accessory
BuffGH_2022,JKPFCNPL_00461,435745,436113,accessory
BuffGH_2022,JKPFCNPL_00462,436345,436938,accessory
BuffGH_2022,JKPFCNPL_00463,437014,437508,accessory
BuffGH_2022,JKPFCNPL_00464,437346,437693,accessory
BuffGH_2022,JKPFCNPL_00465,437783,438052,accessory
